"" "" "LR.summary.stat" "LR.summary.p.val" "p" "adj.p"
"133" "MXI1" "MRPS33" "47.3961174854057" "2.86262569204609e-10" "0" "0"
"134" "FOXO3" "PCGF5" "47.0234444578366" "3.43592487794808e-10" "0" "0"
"135" "FOXP1" "CCT6A" "46.9266739022398" "3.60269702959215e-10" "0" "0"
"136" "HSF1" "PCGF5" "46.6088358309937" "4.20948609303196e-10" "0" "0"
"137" "HSF1" "SUMO2" "46.506847621202" "4.42505920794645e-10" "0" "0"
"138" "ATF4" "HNRNPA3" "46.4988023627023" "4.44252634679287e-10" "0" "0"
"139" "TAL1" "PRDX6" "46.418415324126" "4.62088700636798e-10" "0" "0"
"140" "E2F2" "NFIX" "46.2411156083907" "5.03997288348046e-10" "0" "0"
"141" "HSF1" "SNRPE" "46.2176478173303" "5.09821851402137e-10" "0" "0"
"142" "JUNB" "ACTN4" "46.0041378181875" "5.66000801782707e-10" "0" "0"
"143" "KLF3" "SRSF7" "45.9475571071116" "5.81898307316919e-10" "0" "0"
"144" "SREBF1" "ESD" "45.9342056627773" "5.85714254874858e-10" "0" "0"
"145" "DDIT3" "PRKAG1" "45.7910596463651" "6.28231355825903e-10" "0" "0"
"146" "NFE2" "SUMO2" "45.5986838324418" "6.90266621639068e-10" "0" "0"
"147" "KLF1" "SLC25A6" "44.7226434635907" "1.05976472042357e-09" "0" "0"
"148" "NFE2" "SLC25A6" "44.4037865068847" "1.23868271195704e-09" "0" "0"
"149" "HSF1" "RBMX" "44.1841014322804" "1.37921740694935e-09" "0" "0"
"150" "TCF3" "CCT6A" "43.7813385892366" "1.6795302926198e-09" "0" "0"
"151" "FOXO3" "PSMC5" "42.6488485754769" "2.92186941308614e-09" "0" "0"
"152" "SP2" "HBA2" "42.6293463165053" "2.94985524895708e-09" "0" "0"
"153" "MXI1" "SRSF7" "42.5681560099952" "3.03941360968452e-09" "0" "0"
"154" "GFI1B" "CPVL" "42.4213452263086" "3.26551885532211e-09" "0" "0"
"155" "RBPJ" "SNRPA1" "41.5684713614058" "4.95379015585939e-09" "0" "0"
"156" "E2F2" "EMC3" "40.8794930757047" "6.93557566933123e-09" "0" "0"
"157" "TRIM28" "TRAPPC2L" "39.8569061548795" "1.14258282835067e-08" "0" "0"
"158" "MXI1" "RPS12" "39.2166512092101" "1.56158790343142e-08" "0" "0"
"159" "E2F4" "IDH2" "39.1709902256696" "1.59676362132544e-08" "0" "0"
"160" "KLF2" "APLP2" "38.6599206711009" "2.04881404064494e-08" "0" "0"
"161" "ZBTB7A" "TRA2B" "38.6304836600632" "2.07843889876713e-08" "0" "0"
"162" "MAX" "SUMO2" "38.520767048896" "2.19267408674284e-08" "0" "0"
"163" "MXI1" "LSM5" "38.3995307554303" "2.32620934736971e-08" "0" "0"
"164" "FOXO3" "TPRKB" "38.3591252908195" "2.37249438983511e-08" "0" "0"
"165" "KLF3" "EIF3D" "38.0746238114193" "2.72549870450334e-08" "0" "0"
"166" "HSF1" "MRPL51" "38.0148713938756" "2.80605810809575e-08" "0" "0"
"167" "ZBTB7A" "SDHC" "37.179861028992" "4.21533523642381e-08" "0" "0"
"168" "KLF1" "CCNB2" "37.0824798120968" "4.42015125612372e-08" "0" "0"
"169" "KLF3" "SLC25A6" "37.0676995847307" "4.45209455968154e-08" "0" "0"
"170" "FOXP1" "ILF2" "36.7239048076742" "5.26376807696849e-08" "0" "0"
"171" "CREB1" "DNMT1" "36.2958666787246" "6.48376671241735e-08" "0" "0"
"172" "FOXO3" "SRSF7" "36.0118908149389" "7.44515367134824e-08" "0" "0"
"173" "NFE2L2" "POLR2L" "35.984531425277" "7.54498064026166e-08" "0" "0"
"174" "FOXO3" "LSM5" "35.9420488642285" "7.70264333427306e-08" "0" "0"
"175" "STAT3" "PIM1" "35.6619275331791" "8.82787432043841e-08" "0" "0"
"176" "E2F2" "SUMO2" "35.479462590218" "9.64765826116931e-08" "0" "0"
"177" "HSF1" "TRA2B" "35.419961401861" "9.93109099400868e-08" "0" "0"
"178" "SMAD2" "TIMM13" "35.1962824001025" "1.1072982009086e-07" "0" "0"
"179" "FOSB" "NME4" "34.4130084624778" "1.62077421261841e-07" "0" "0"
"180" "NFE2" "POLR2L" "34.2562123048054" "1.74916985118401e-07" "0" "0"
"181" "MXI1" "UBE2B" "34.1962836230907" "1.80088340795415e-07" "0" "0"
"182" "NFE2" "PCGF5" "34.1590060230751" "1.83381810736627e-07" "0" "0"
"183" "TCF3" "ILF2" "34.0217578506184" "1.96034426802605e-07" "0" "0"
"184" "E2F4" "RBM3" "33.4368431283071" "2.6048627355113e-07" "0" "0"
"185" "MAX" "PIP4K2A" "33.4269240422416" "2.61744681040454e-07" "0" "0"
